2016-10-23 00:12:53,282 |-0.0.0.0-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.003s, 30 requests, 13 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/security-controller.xml
2016-10-23 00:12:53,315 |-0.0.0.0-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/commonext/webapp/WEB-INF/controller.xml
2016-10-23 00:12:53,486 |-0.0.0.0-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.032s, 370 requests, 153 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/webapp/content/WEB-INF/controller.xml
2016-10-23 00:12:53,501 |-0.0.0.0-8443-exec-3 |RequestHandler                |I| This is the first request in this visit. sessionId=29C79CE65F315475CFECD5E328E3B8EB.jvm1
2016-10-23 00:12:53,621 |-0.0.0.0-8443-exec-3 |RequestHandler                |I| Rendering View [login], sessionId=29C79CE65F315475CFECD5E328E3B8EB.jvm1
2016-10-23 00:12:53,627 |-0.0.0.0-8443-exec-3 |UtilJ2eeCompat                |I| serverInfo: apache tomcat/7.0.68
2016-10-23 00:12:53,627 |-0.0.0.0-8443-exec-3 |UtilJ2eeCompat                |I| Apache Tomcat detected, using response.getWriter to write text out instead of response.getOutputStream
2016-10-23 00:12:56,415 |-0.0.0.0-8443-exec-3 |ServiceDispatcher             |T| Sync service [partymgr/getUserPreferenceGroup] finished in [188] milliseconds
2016-10-23 00:12:56,895 |-0.0.0.0-8443-exec-3 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Windows/git/IMSProject/IMS/framework/webapp/config/freemarkerTransforms.properties
2016-10-23 00:12:56,897 |-0.0.0.0-8443-exec-3 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Windows/git/IMSProject/IMS/framework/widget/config/freemarkerTransforms.properties
2016-10-23 00:12:56,898 |-0.0.0.0-8443-exec-3 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/config/freemarkerTransforms.properties
2016-10-23 00:12:56,899 |-0.0.0.0-8443-exec-3 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/config/freemarkerTransforms.properties
2016-10-23 00:12:57,357 |-0.0.0.0-8443-exec-3 |ScreenFactory                 |I| Got 24 screens in 0.87s from: file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/widget/CommonScreens.xml
